video_id,General Color,cantidad_tags
nvWDAXOJRlE,Blue,6
8EWRh-nRfxg,Dark Blue,5
G6gSSwpW0XA,Red,6
KO-I3woc1zA,Dark Blue,3
oTU_xrW4AXI,Yellow,6
Bt62oT9YD5o,Purple,18
yN1uoxZQVaU,Purple,5
jMFoaRWq69Q,Purple,6
RfK1eP5MYS4,Blue,0
cwCilNVm9xM,Blue,16
OnMe42DH1Hg,Blue,15
N8slYIa5RvM,Dark Blue,6
SNreqswmZMc,Blue,6
pYJs4-WVFnU,Blue,0
CIWCru78WiY,Blue,5
ZD3y4s0dIvo,Blue,7
8If3ForRc5M,Orange,1
awfFDzfLjiU,Dark Blue,5
KQCPikSx6dc,Blue,6
Bw-ynQMMN7g,Red,6
2eNWSMedga0,Purple,6
LeVzouFBmzU,Red,12
9o2NvXVnNXk,Orange,5
HINQqOrQfyU,Blue,6
UrQgZlRx5XE,Red,6
9gmTfQtWPJM,Red,6
wic0IkHb6VE,Green,6
qve0bhKccpo,Blue,8
wV0mpy-nLUU,Yellow,8
dX356EC2A5c,Purple,3
0-pH13n590k,Red,12
NsTkNf5WT_8,Yellow,8
7rijZHQNbq0,Blue,8
vA-UdP3913k,Dark Blue,0
_ESSB71MDag,Dark Blue,0
