video_id,duracion_segundos,mayor_5_min,promedio_tiempo_reproducido,categoria,tags,fecha_publicacion,impresiones,tasa_de_clicks,vistas,suscriptores,Impresiones_promedio, promedio_vistas ,promedio_suscriptores,popularidad,tiene_tags
oTU_xrW4AXI,461,True,144,Would You Rather,Entertainment ;WouldYouRather ;DecisionMaking ;Entertainment ;WouldYouRather ;DecisionMaking,6-Sep-24,16064,2.42,639,1,2577,267,1.23,False,True
LeVzouFBmzU,52,False,23,Would You Rather,olympics ;sports  ;trackandfield ;gymnastics;wouldyourather  ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge,3-Aug-24,550,3.27,597,1,2577,267,1.23,False,True
9o2NvXVnNXk,40,False,20,Would You Rather,shorts ;wouldyourather ;HardChoices ;PhysicalChallenges ;EngageAndDecide,12-Sep-24,289,5.19,560,3,2577,267,1.23,True,True
Bt62oT9YD5o,323,True,76,Holidays,halloween ;wouldyourather ;hardchoices ;quiz ;quiztime ;yesornoquiz,31-Oct-24,11458,4.38,559,5,2577,267,1.23,True,True
HINQqOrQfyU,42,False,20,Animals Quiz,,21-Sep-24,235,1.7,501,0,2577,267,1.23,False,False
UrQgZlRx5XE,57,False,17,Would You Rather,wouldyourather  ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge;olympicgames ;wouldyourather,4-Aug-24,611,4.26,472,0,2577,267,1.23,False,True
9gmTfQtWPJM,52,False,23,Would You Rather,wouldyourather  ;SpaceEdition ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge,21-Jul-24,487,4.31,469,4,2577,267,1.23,True,True
wic0IkHb6VE,41,False,20,Sports Quiz,euros ;copa ;europeanchampionship ;football ;quiz ;uefa,6-Jul-24,471,3.18,460,2,2577,267,1.23,True,True
qve0bhKccpo,40,False,16,Sports Quiz,euros ;copa ;europeanchampionship ;football ;quiz ;uefa,9-Jul-24,457,2.84,446,2,2577,267,1.23,True,True
wV0mpy-nLUU,48,False,16,Sports Quiz,,10-Jul-24,537,2.23,423,1,2577,267,1.23,False,False
yN1uoxZQVaU,407,True,109,Would You Rather,WouldYouRather ;FantasyEdition ;Magic ;Adventure ;QuizTime,7-Aug-24,10523,3.05,394,0,2577,267,1.23,False,True
jMFoaRWq69Q,399,True,79,Would You Rather,WouldYouRather ;Disney ;DisneyWorld  ;Disneyland ;DisneyParks ;MagicKingdom ;QuizTime,22-Aug-24,5373,2.61,278,1,2577,267,1.23,False,True
dX356EC2A5c,36,False,19,Entertainment Quiz,,11-Jul-24,447,3.8,270,0,2577,267,1.23,False,False
RfK1eP5MYS4,443,True,136,Would You Rather,wouldyourather ;summerquiz ;vacation ;travel ;summervibes ;fun ;quiztime,26-Jul-24,11094,1.66,251,1,2577,267,1.23,False,True
cwCilNVm9xM,302,True,101,Nature Quiz,"quizgames, ;flowerquiz, ;quizforkids, ;flowersname,  ;kidslearningvideos, ;naturefun, ;kidsandnature",3-Jul-24,4541,3.19,235,1,2577,267,1.23,False,True
OnMe42DH1Hg,265,False,105,Nature Quiz,watercycle ;sciencequiz ;quizforkids ;earthscience ;kidslearningvideos ;sciencefunfacts,11-Jul-24,2707,3.99,212,2,2577,267,1.23,False,True
N8slYIa5RvM,260,False,89,Trivia Facts Quiz,planetquiz ;sciencequiz ;quizforkids ;solarsystem ;kidslearningvideos ;spacefun,18-Jul-24,6190,1.62,163,3,2577,267,1.23,False,True
SNreqswmZMc,305,True,60,Animals Quiz,BirdQuiz ;NatureSounds ;BirdWatching ;CalmingNature ;CuteBirds ;Relaxation ;BirdIdentification ;NatureLovers ;QuizTime ;factsquiz ;birds ;eduactionquiz,20-Sep-24,4549,2.4,161,1,2577,267,1.23,False,True
pYJs4-WVFnU,207,False,58,Trivia Facts Quiz,flags ;flagsquizeasy ;flagsquizchallenge ;quizforkids ;learnwithfun,5-Jun-24,2043,3.96,153,2,2577,267,1.23,False,True
ZD3y4s0dIvo,198,False,52,Trivia Facts Quiz, quizgames ;olympicsquiz ;quizforkids ;olympicgames ;kidslearningvideos ;funfacts,1-Aug-24,1733,4.39,134,4,2577,267,1.23,False,True
8If3ForRc5M,206,False,27,Trivia Facts Quiz,flags ;flagsquizeasy ;flagsquizchallenge ;quizforkids ;learnwithfun ;africanflags,11-Jun-24,1708,4.8,114,1,2577,267,1.23,False,True
awfFDzfLjiU,216,False,40,Trivia Facts Quiz,quizgames   ;capitalsquiz  ;quizforkids ;countryfacts ;kidslearningvideos ;funcapitalsfacts,22-May-24,986,6.29,101,0,2577,267,1.23,False,True
KQCPikSx6dc,195,False,55,Trivia Facts Quiz,quizgames ;womeninhistory ;achievegreatness ;achievements  ;quizforkids ;theQuizChallengeforKids ;kidslearningvideos ;funfacts,27-Jun-24,2422,2.39,100,1,2577,267,1.23,False,True
Bw-ynQMMN7g,442,True,104,Entertainment Quiz,"ScaryMovies ;HorrorChallenge ;GuessTheMovie ;MovieTrivia ;HalloweenFun ;halloween ;halloween2024, ;moviechallange",3-Oct-24,3450,1.74,88,0,2577,267,1.23,False,True
0-pH13n590k,51,False,16,Would You Rather,TaylorSwift ;WouldYouRather ;Swifties,11-Aug-24,540,2.41,83,0,2577,267,1.23,False,True
2eNWSMedga0,245,False,72,Holidays,"SpookyChoices, ;HorrorHouse, ;HalloweenFun, ;halloween quiz, ;quiz, ;would you rather ;build your dream house, ;Halloween Decor, ;would you rather, ;would you rather halloween questions, ;daily quiz, ;would you rather hardest choices ever, ;quiz game, ;would you rather brain break, ;Scary Choices, ;pick one kick one, Halloween, ;Halloween Games, ;Haunted House, ;Trick or Treat, ;Halloween Ideas, ;Halloween 2023, ;Party Games",27-Oct-24,1184,4.14,72,0,2577,267,1.23,False,True
NsTkNf5WT_8,36,False,19,Sports Quiz,quiz ;mlb ;mlballstargame  ;shoheiohtani  ;bryceharper ;aaronjudge   ;baseball ;allstargame,10-Jul-24,673,2.53,63,0,2577,267,1.23,False,True
7rijZHQNbq0,29,False,20,Trivia Facts Quiz,quiz ;quizgame ;olympicsquiz ;quizforkids ;olympicgames ;kidslearningvideos ;funfacts ;shortquiz,2-Jul-24,366,6.01,54,1,2577,267,1.23,False,True
vA-UdP3913k,54,False,20,Trivia Facts Quiz,,16-Aug-24,441,2.04,43,0,2577,267,1.23,False,False
_ESSB71MDag,24,False,18,Trivia Facts Quiz,,18-Jul-24,473,1.27,38,0,2577,267,1.23,False,False
