content_id,duracion_vistas_promedio,dia_de_la_semana,vistas,tiempo_reproducido_horas,suscriptores,impresiones,ctr,category,audiencia_objetivo,color
nvWDAXOJRlE,duracion_promedio_vistas bajas,Friday,vistas altas,tiempo_reproduccion_horas altas,suscriptores altos,impresiones altas,ctr bajo,Trivia Facts Quiz,General,Blue
8EWRh-nRfxg,duracion_promedio_vistas altas,Thursday,vistas altas,tiempo_reproduccion_horas altas,suscriptores media,impresiones altas,ctr medio,Entertainment Quiz,General,Blue
G6gSSwpW0XA,duracion_promedio_vistas bajas,Friday,vistas altas,tiempo_reproduccion_horas bajas,suscriptores media,impresiones altas,ctr alto,Trivia Facts Quiz,Children,Pink
KO-I3woc1zA,duracion_promedio_vistas medias,Thursday,vistas altas,tiempo_reproduccion_horas medias,suscriptores media,impresiones altas,ctr medio,Entertainment Quiz,General,Blue
oTU_xrW4AXI,duracion_promedio_vistas altas,Friday,vistas altas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones altas,ctr bajo,Would You Rather,General,Yellow
Bt62oT9YD5o,duracion_promedio_vistas medias,Thursday,vistas altas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones altas,ctr medio,Holidays,General,Purple
yN1uoxZQVaU,duracion_promedio_vistas altas,Wednesday,vistas altas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones altas,ctr bajo,Would You Rather,General,Purple
jMFoaRWq69Q,duracion_promedio_vistas medias,Thursday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones medias,ctr bajo,Would You Rather,Children,Purple
RfK1eP5MYS4,duracion_promedio_vistas altas,Friday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones altas,ctr bajo,Would You Rather,General,White
cwCilNVm9xM,duracion_promedio_vistas medias,Wednesday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones medias,ctr medio,Nature Quiz,Children,Gray
OnMe42DH1Hg,duracion_promedio_vistas medias,Thursday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr medio,Nature Quiz,Children,Blue
N8slYIa5RvM,duracion_promedio_vistas medias,Thursday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones medias,ctr bajo,Trivia Facts Quiz,Children,Purple
SNreqswmZMc,duracion_promedio_vistas bajas,Friday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones medias,ctr bajo,Animals Quiz,Children,Blue
pYJs4-WVFnU,duracion_promedio_vistas bajas,Wednesday,vistas medias,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr medio,Trivia Facts Quiz,Children,Gray
CIWCru78WiY,duracion_promedio_vistas bajas,Wednesday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr alto,Animals Quiz,Children,Blue
ZD3y4s0dIvo,duracion_promedio_vistas bajas,Thursday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr medio,Trivia Facts Quiz,General,Blue
8If3ForRc5M,duracion_promedio_vistas bajas,Tuesday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr alto,Trivia Facts Quiz,Children,Beige
awfFDzfLjiU,duracion_promedio_vistas bajas,Wednesday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr alto,Trivia Facts Quiz,Children,Blue
KQCPikSx6dc,duracion_promedio_vistas bajas,Thursday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr bajo,Trivia Facts Quiz,Children,Pink
Bw-ynQMMN7g,duracion_promedio_vistas medias,Thursday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones medias,ctr bajo,Entertainment Quiz,General,Blue
2eNWSMedga0,duracion_promedio_vistas medias,Sunday,vistas bajas,tiempo_reproduccion_horas bajas,suscriptores bajos,impresiones bajas,ctr medio,Holidays,General,Indigo
